Pricing,Space Type,FloorAccess,Rental Capacity,Size,Minimum,Maximum,Ref,URL
12000,Art Gallery,Ground floor street,Entire or Partial,"5,000 sq ft",1 day,1 year,35219,https://www.thestorefront.com/spaces/united-states/new-york/new-york/35219-activation-gallery-in-the-heart-of
2280,Unique Space,Upstairs,Entire,"1,800 sq ft",1 day,1 month,33051,https://www.thestorefront.com/spaces/united-states/new-york/new-york/33051-bright-showroom-in-midtown
5400,Unique Space,Upstairs,Entire or Partial,"6,000 sq ft",1 day,12 months,33888,https://www.thestorefront.com/spaces/united-states/new-york/new-york/33888-amazing-chelsea-multipurpose-event
3000,Unique Space,Upstairs,Entire,"6,500 sq ft",1 day,1 year,29025,https://www.thestorefront.com/spaces/united-states/new-york/brooklyn/29025-amazing-red-hook-showroom
27600,Unique Space,Upstairs,Entire,"61,225 sq ft",1 day,6 months,33851,https://www.thestorefront.com/spaces/united-states/new-york/new-york/33851-amazing-showroom-in-williamsburg
7200,,Upstairs,Entire,"6,000 sq ft",1 day,1 year,34409,https://www.thestorefront.com/spaces/united-states/new-york/new-york/34409-amazing-showroom-space
1800,Unique Space,Upstairs,Entire,"2,500 sq ft",1 day,1 month,17929,https://www.thestorefront.com/spaces/united-states/new-york/brooklyn/17929-studio-showroom-in-brooklyn
48000,,Ground floor street,Entire,"2,500 sq ft",1 month,12 months,33102,https://www.thestorefront.com/spaces/united-states/new-york/new-york/33102-beautiful-space-on-broadway
36000,,Ground floor street,Entire,"3,250 sq ft",1 month,,33588,https://www.thestorefront.com/spaces/united-states/new-york/new-york/33588-blank-space-across-whitney-museum
4680,,Upstairs,Entire,"1,700 sq ft",1 day,1 day,35653,https://www.thestorefront.com/spaces/united-states/new-york/new-york/35653-boutique-apartment-fully-equipped-
2400,,Ground floor street,Entire,"1,700 sq ft",1 day,12 months,32178,https://www.thestorefront.com/spaces/united-states/new-york/new-york/32178-boutique-space-in-soho
30396,,Ground floor street,Entire,"8,307 sq ft",1 day,12 months,33847,https://www.thestorefront.com/spaces/united-states/new-york/new-york/33847-brand-new-retail-in-williamsburg
,,Ground floor street,Entire,"16,229 sq ft",1 day,6 months,33848,https://www.thestorefront.com/spaces/united-states/new-york/new-york/33848-brand-new-retail-in-williamsburg
3600,Unique Space,Upstairs,Entire or Partial,"2,000 sq ft",1 day,12 months,26207,https://www.thestorefront.com/spaces/united-states/new-york/new-york/26207-bright-loft-studio-in-chelsea
720,,Upstairs,Entire,943 sq ft,1 day,1 month,17661,https://www.thestorefront.com/spaces/united-states/new-york/new-york/17661-bright-showroom-in-prime-bowery
3120,,Upstairs,Entire,"2,000 sq ft",1 day,,33743,https://www.thestorefront.com/spaces/united-states/new-york/brooklyn/33743-bright-williamsburg-duplex-penthou
18000,Art Gallery,Ground floor street,Entire,"5,000 sq ft",1 day,1 week,27830,https://www.thestorefront.com/spaces/united-states/new-york/27830-bustling-tribeca-gallery-space
2220,,Ground floor street,Entire,"1,000 sq ft",1 day,1 year,31255,https://www.thestorefront.com/spaces/united-states/new-york/new-york/31255-chic-multi-purpose-venue-in-nomad
810,,Upstairs,Partial,150 sq ft,1 day,1 month,31440,https://www.thestorefront.com/spaces/united-states/new-york/new-york/31440-tribeca-penthouse-showroom-racks
18000,,Upstairs,Entire,"5,000 sq ft",1 day,,35655,https://www.thestorefront.com/spaces/united-states/new-york/new-york/35655-classically-elegant-soho-duplex
900,Art Gallery,Ground floor street,Entire,750 sq ft,1 day,1 week,31636,https://www.thestorefront.com/spaces/united-states/new-york/new-york/31636-compact-gallery-in-west-village
36000,,Ground floor street,Entire,"4,200 sq ft",1 week,1 year,19905,https://www.thestorefront.com/spaces/united-states/new-york/new-york/19905-huge-pop-up-event-space-in-soho
2400,Art Gallery,Ground floor street,Entire,"1,100 sq ft",1 day,1 year,24964,https://www.thestorefront.com/spaces/united-states/new-york/new-york/24964-contemporary-gallery-in-tribeca
12000,,Ground floor street,Entire,500 sq ft,1 month,1 year,25536,https://www.thestorefront.com/spaces/united-states/new-york/new-york/25536-cozy-pop-up-shop-in-busy-midtown
360,,Ground floor street,Entire,900 sq ft,5 days,,32407,https://www.thestorefront.com/spaces/united-states/new-york/brooklyn/32407-cozy-restaurant-space-in-crown-hei
3600,,Upstairs,Entire,"2,400 sq ft",1 week,1 year,28273,https://www.thestorefront.com/spaces/united-states/new-york/28273-creative-loft-space-in-chinatown
960,,Ground floor street,Entire or Partial,550 sq ft,2 days,12 months,35137,https://www.thestorefront.com/spaces/united-states/new-york/new-york/35137-elegant-white-box-in-nolita
6000,Unique Space,Ground floor street,Entire,"1,000 sq ft",1 day,12 months,34432,https://www.thestorefront.com/spaces/united-states/new-york/new-york/34432-event-space-in-prime-midtown
4800,Unique Space,Ground floor street,Entire,"4,500 sq ft",1 day,12 months,34433,https://www.thestorefront.com/spaces/united-states/new-york/new-york/34433-event-space-in-midtown
15000,Unique Space,Ground floor street,Entire,"6,850 sq ft",10 days,1 year,28124,https://www.thestorefront.com/spaces/united-states/new-york/28124-expansive-space-in-downtown
18000,,Ground floor street,Entire,250 sq ft,1 month,1 year,25533,https://www.thestorefront.com/spaces/united-states/new-york/new-york/25533-fantastic-midtown-pop-up-shop
12000,Unique Space,Ground floor street,Entire,"10,000 sq ft",1 day,1 year,28204,https://www.thestorefront.com/spaces/united-states/new-york/28204-financial-district-event-space
42000,Unique Space,Ground floor street,Entire,"12,000 sq ft",1 day,1 year,28205,https://www.thestorefront.com/spaces/united-states/new-york/28205-financial-district-event-space
3000,Art Gallery,Ground floor street,Entire or Partial,"3,500 sq ft",1 day,1 month,33793,https://www.thestorefront.com/spaces/united-states/new-york/new-york/33793-firehouse-pop-up-space-in-east-har
1200,,Ground floor street,Entire,"1,700 sq ft",1 day,3 months,25737,https://www.thestorefront.com/spaces/united-states/new-york/new-york/25737-flexible-art-space-in-bowery
2400,,Ground floor street,Entire or Partial,"3,500 sq ft",1 day,,35378,https://www.thestorefront.com/spaces/united-states/new-york/staten-island/35378-food-event-space-in-charleston
2400,,Ground floor street,Entire,800 sq ft,1 day,3 months,31889,https://www.thestorefront.com/spaces/united-states/new-york/brooklyn/31889-gelato-coffee-in-red-hook-brooklyn
9600,,Ground floor street,Entire,"3,000 sq ft",1 day,12 months,34343,https://www.thestorefront.com/spaces/united-states/new-york/new-york/34343-grand-boutique-in-midtown
24000,,Ground floor street,Entire,"1,265 sq ft",1 month,1 year,29927,https://www.thestorefront.com/spaces/united-states/new-york/new-york/29927-great-pop-up-space-on-bedford-aven
600,Unique Space,Upstairs,Entire,"1,152 sq ft",1 day,12 days,29771,https://www.thestorefront.com/spaces/united-states/new-york/new-york/29771-great-pop-up-space-in-noho
4800,,Ground floor street,Entire,550 sq ft,1 week,1 year,29743,https://www.thestorefront.com/spaces/united-states/new-york/new-york/29743-great-pop-up-space-in-midtown
24000,,Ground floor street,Entire,"1,800 sq ft",1 month,1 year,29943,https://www.thestorefront.com/spaces/united-states/new-york/new-york/29943-great-pop-up-space-on-park-ave
3600,Art Gallery,Ground floor street,Entire or Partial,"1,700 sq ft",1 day,2 weeks,33049,https://www.thestorefront.com/spaces/united-states/new-york/new-york/33049-ground-floor-gallery-in-chelsea
120000,,Ground floor street,Entire,"6,029 sq ft",1 month,1 year,27644,https://www.thestorefront.com/spaces/united-states/new-york/27644-immense-chelsea-retail-space
60000,,Ground floor street,Entire,"2,600 sq ft",1 month,1 year,24537,https://www.thestorefront.com/spaces/united-states/new-york/24537-incredible-soho-pop-up-space
9000,Unique Space,Ground floor street,Entire or Partial,"20,000 sq ft",1 day,1 month,34380,https://www.thestorefront.com/spaces/united-states/new-york/brooklyn/34380-industrial-versatile-building-in-b
26400,Unique Space,Ground floor street,Entire or Partial,"18,000 sq ft",1 day,12 months,31319,https://www.thestorefront.com/spaces/united-states/new-york/new-york/31319-industrial-blank-canvas-in-prime-c
67200,,Ground floor street,Entire,"4,500 sq ft",1 month,1 year,25190,https://www.thestorefront.com/spaces/united-states/new-york/new-york/25190-industrial-showroom-in-soho
360,,Ground floor street,Entire,350 sq ft,1 day,3 months,30635,https://www.thestorefront.com/spaces/united-states/new-york/brooklyn/30635-intimate-pop-up-in-crown-heights
24000,,Ground floor street,Entire or Partial,"3,615 sq ft",1 week,1 year,29742,https://www.thestorefront.com/spaces/united-states/new-york/new-york/29742-large-pop-up-space-in-midtown
96000,,Ground floor street,Entire,"4,185 sq ft",2 months,,31366,https://www.thestorefront.com/spaces/united-states/new-york/new-york/31366-large-central-boutique-on-madison
